iter	Passed	Remaining
1297	16380	8858
1298	16391	8845
1299	16405	8833
1300	16419	8821
1301	16433	8809
1302	16449	8799
1303	16462	8786
1304	16471	8772
1305	16482	8758
1306	16495	8746
1307	16508	8733
1308	16519	8720
1309	16535	8709
1310	16549	8697
1311	16562	8685
1312	16576	8673
1313	16591	8661
1314	16605	8649
1315	16618	8637
1316	16630	8624
1317	16645	8613
1318	16662	8602
1319	16678	8591
1320	16689	8578
1321	16699	8564
1322	16711	8551
1323	16723	8538
1324	16733	8524
1325	16747	8512
1326	16759	8499
1327	16771	8486
1328	16784	8474
1329	16797	8461
1330	16808	8448
1331	16818	8434
1332	16828	8420
1333	16836	8405
1334	16844	8390
1335	16853	8376
1336	16861	8361
1337	16871	8347
1338	16885	8335
1339	16896	8322
1340	16905	8307
1341	16916	8294
1342	16929	8282
1343	16945	8270
1344	16958	8258
1345	16971	8245
1346	16985	8234
1347	17000	8222
1348	17015	8211
1349	17030	8200
1350	17045	8188
1351	17061	8177
1352	17075	8165
1353	17087	8152
1354	17101	8140
1355	17117	8129
1356	17132	8117
1357	17147	8106
1358	17159	8093
1359	17172	8081
1360	17187	8069
1361	17199	8056
1362	17211	8043
1363	17225	8031
1364	17240	8020
1365	17255	8008
1366	17267	7996
1367	17282	7984
1368	17299	7973
1369	17315	7962
1370	17329	7950
1371	17343	7938
1372	17358	7927
1373	17373	7915
1374	17384	7902
1375	17395	7888
1376	17404	7874
1377	17416	7861
1378	17430	7849
1379	17443	7836
1380	17453	7823
1381	17464	7809
1382	17478	7797
1383	17492	7785
1384	17505	7773
1385	17515	7759
1386	17523	7744
1387	17531	7729
1388	17540	7715
1389	17548	7701
1390	17557	7686
1391	17565	7672
1392	17573	7657
1393	17582	7643
1394	17592	7629
1395	17602	7615
1396	17612	7602
1397	17623	7588
1398	17635	7575
1399	17648	7563
1400	17662	7551
1401	17673	7538
1402	17686	7525
1403	17698	7513
1404	17709	7499
1405	17721	7487
1406	17732	7473
1407	17744	7460
1408	17755	7447
1409	17765	7433
1410	17777	7420
1411	17787	7407
1412	17799	7394
1413	17811	7381
1414	17822	7368
1415	17834	7355
1416	17845	7342
1417	17857	7329
1418	17868	7316
1419	17879	7303
1420	17891	7290
1421	17901	7276
1422	17911	7262
1423	17922	7249
1424	17932	7235
1425	17943	7222
1426	17956	7210
1427	17969	7197
1428	17979	7184
1429	17989	7170
1430	17999	7156
1431	18009	7143
1432	18020	7130
1433	18032	7117
1434	18047	7105
1435	18058	7092
1436	18069	7079
1437	18080	7066
1438	18090	7052
1439	18099	7038
1440	18111	7025
1441	18122	7012
1442	18136	7000
1443	18148	6987
1444	18160	6975
1445	18174	6962
1446	18187	6950
1447	18200	6938
1448	18212	6925
1449	18223	6912
1450	18234	6899
1451	18248	6887
1452	18262	6875
1453	18278	6863
1454	18294	6852
1455	18309	6841
1456	18326	6829
1457	18341	6818
1458	18353	6805
1459	18367	6793
1460	18379	6780
1461	18390	6767
1462	18402	6754
1463	18415	6742
1464	18426	6729
1465	18439	6716
1466	18453	6704
1467	18466	6692
1468	18480	6680
1469	18495	6668
1470	18512	6657
1471	18528	6646
1472	18541	6633
1473	18554	6621
1474	18570	6609
1475	18584	6597
1476	18600	6586
1477	18617	6575
1478	18633	6563
1479	18647	6551
1480	18659	6539
1481	18674	6527
1482	18687	6514
1483	18702	6502
1484	18714	6490
1485	18729	6478
1486	18744	6466
1487	18760	6455
1488	18773	6442
1489	18785	6430
1490	18798	6417
1491	18813	6405
1492	18825	6392
1493	18837	6379
1494	18849	6367
1495	18860	6353
1496	18871	6340
1497	18886	6329
1498	18900	6316
1499	18914	6304
1500	18926	6291
1501	18938	6279
1502	18953	6267
1503	18970	6256
1504	18986	6244
1505	19001	6233
1506	19016	6221
1507	19031	6209
1508	19043	6196
1509	19056	6183
1510	19067	6170
1511	19078	6157
1512	19088	6144
1513	19097	6130
1514	19106	6116
1515	19114	6102
1516	19121	6088
1517	19130	6074
1518	19139	6060
1519	19150	6047
1520	19160	6034
1521	19170	6020
1522	19179	6007
1523	19191	5994
1524	19203	5981
1525	19214	5968
1526	19228	5956
1527	19239	5943
1528	19253	5930
1529	19267	5918
1530	19280	5906
1531	19290	5893
1532	19304	5880
1533	19319	5869
1534	19334	5857
1535	19349	5845
1536	19369	5834
1537	19382	5822
1538	19394	5809
1539	19406	5796
1540	19419	5784
1541	19432	5771
1542	19445	5759
1543	19460	5747
1544	19488	5739
1545	19503	5727
1546	19517	5715
1547	19534	5703
1548	19550	5692
1549	19565	5680
1550	19579	5668
1551	19589	5654
1552	19599	5641
1553	19611	5628
1554	19621	5615
1555	19631	5601
1556	19642	5588
1557	19653	5575
1558	19662	5561
1559	19670	5548
1560	19678	5534
1561	19686	5520
1562	19694	5506
1563	19703	5492
1564	19714	5479
1565	19725	5466
1566	19736	5453
1567	19747	5440
1568	19761	5428
1569	19775	5416
1570	19792	5404
1571	19822	5397
1572	19834	5384
1573	19846	5371
1574	19860	5359
1575	19875	5347
1576	19888	5334
1577	19903	5322
1578	19914	5309
1579	19928	5297
1580	19944	5285
1581	19958	5273
1582	19970	5260
1583	19982	5247
1584	19998	5236
1585	20010	5223
1586	20021	5210
1587	20032	5197
1588	20043	5184
1589	20057	5171
1590	20074	5160
1591	20092	5149
1592	20110	5138
1593	20128	5126
1594	20142	5114
1595	20155	5102
1596	20169	5089
1597	20179	5076
1598	20187	5062
1599	20196	5049
1600	20204	5035
1601	20218	5023
1602	20228	5009
1603	20239	4996
1604	20248	4983
1605	20257	4969
1606	20267	4956
1607	20277	4943
1608	20288	4930
1609	20297	4916
1610	20307	4903
1611	20319	4890
1612	20331	4878
1613	20342	4865
1614	20353	4852
1615	20363	4838
1616	20372	4825
1617	20381	4811
1618	20394	4799
1619	20406	4786
1620	20416	4773
1621	20425	4760
1622	20432	4746
1623	20441	4732
1624	20449	4719
1625	20457	4705
1626	20465	4691
1627	20473	4678
1628	20481	4664
1629	20489	4651
1630	20499	4637
1631	20508	4624
1632	20519	4611
1633	20530	4598
1634	20541	4585
1635	20552	4572
1636	20565	4560
1637	20579	4548
1638	20591	4535
1639	20602	4522
1640	20614	4509
1641	20624	4496
1642	20633	4483
1643	20645	4470
1644	20657	4458
1645	20669	4445
1646	20681	4432
1647	20696	4420
1648	20711	4408
1649	20726	4396
1650	20742	4384
1651	20757	4372
